nominatim_place_id,city,lat,lon,feels_like.day,pop,temp_delta,weather_score,ranking
297981358,Bayeux,49.2764624,-0.7024738,25,0,0,100.0,1
298137491,Le Havre,49.4938975,0.1079732,25,0,0,100.0,2
297756747,St Malo,48.649518,-2.0260409,26,0,1,92.4,3
120791766,Chateau du Haut Koenigsbourg,48.249489800000006,7.34429620253195,26,5,1,81.9,4
297653650,La Rochelle,46.1591126,-1.1520434,28,0,3,77.1,5
297472400,Lille,50.6365654,3.0635282,28,0,3,77.1,6
297417241,Paris,48.8588897,2.3200410217200766,29,0,4,69.4,7
297534793,Amiens,49.8941708,2.2956951,29,0,4,69.4,8
298516909,Biarritz,43.471143749999996,-1.552726590666314,27,9,2,66.0,9
297668227,Besancon,47.2380222,6.0243622,29,2,4,65.3,10
156094680,Mont Saint Michel,48.6359541,-1.511459954959514,30,0,5,61.8,11
297518815,Rouen,49.4404591,1.0939658,30,0,5,61.8,12
297478568,Dijon,47.3215806,5.0414701,30,1,5,59.7,13
297869324,Eguisheim,48.0447968,7.3079618,29,7,4,54.9,14
297504747,Colmar,48.0777517,7.3579641,29,7,4,54.9,15
298271847,Bayonne,43.4945144,-1.4736657,28,11,3,54.2,16
298011281,Saintes Maries de la mer,43.4522771,4.4287172,31,0,6,54.2,17
298018344,Aigues Mortes,43.5658225,4.1912837,31,0,6,54.2,18
297508568,Strasbourg,48.584614,7.7507127,30,4,5,53.5,19
297763730,Marseille,43.2961743,5.3699525,31,5,6,43.8,20
297681191,Lyon,45.7578137,4.8320114,31,6,6,41.7,21
298072685,Cassis,43.2140359,5.5396318,31,6,6,41.7,22
297655586,Uzes,44.0121279,4.4196718,33,0,8,38.9,23
297906924,Aix en Provence,43.5298424,5.4474738,32,5,7,36.1,24
297768703,Avignon,43.9492493,4.8059012,34,0,9,31.2,25
297997049,Nimes,43.8374249,4.3600687,34,0,9,31.2,26
297749145,Bormes les Mimosas,43.1506968,6.3419285,32,9,7,27.8,27
76036307,Gorges du Verdon,43.7496562,6.3285616,28,24,3,27.1,28
298516920,Annecy,45.8992348,6.1288847,29,22,4,23.6,29
297932490,Montauban,44.0175835,1.3549991,34,4,9,22.9,30
298221742,Collioure,42.52505,3.0831554,32,12,7,21.5,31
297389050,Ariege,42.9455368,1.4065544156065486,27,33,2,16.0,32
297639071,Grenoble,45.1875602,5.7357819,32,18,7,9.0,33
298222566,Toulouse,43.6044622,1.4442469,34,14,9,2.1,34
297466626,Carcassonne,43.2130358,2.3491069,34,15,9,0.0,35
